,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2024-06-30,0.03333333333333333,0.014390484145331405,1.0184249680804978e-22,0.03333333333333333,2.7434494483154726e-22,0.03333333333333333,0.03333333333333333,2.0631916178924733e-22,0.03333333333333333,0.03333333333333333,0.03333333333333333,8.339668824642167e-23,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.05000000000000007,0.03333333333333333,0.03333333333333333,-1.13427255159274e-22,1.0111381756465654e-22,0.022765632468082095,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.15,0.15,0.012843883386586584,0.03333333333333333
2024-09-30,0.10260106369522565,-2.964283560988661e-07,-5.2851349950733686e-08,0.010292318278094742,-4.7298477816197395e-08,0.056595688446949524,0.029031431622526374,-2.3107069339124733e-08,0.0760109520619247,0.03635017448520831,0.03333326692507454,-4.331286972750808e-08,-2.6054429469184914e-07,-3.760496955624789e-07,0.03333325004270517,0.10538292186431465,-2.9117172871343293e-07,0.06821062503227482,-7.472676888958298e-09,-1.9788174609480315e-08,-2.9006013316653943e-07,-2.711365061190058e-07,0.02734795185122568,0.03333324793233883,0.03333328325929192,0.054846544096572684,0.14999993860481733,0.14999993086427243,-3.705679354835492e-07,-2.390680524532697e-07
2024-12-31,0.1209241685131827,-6.2860102716145784e-06,-4.18923917885885e-06,-6.7647048158265085e-06,-3.1344413600458814e-06,0.06293358791811776,0.03555939843858097,-6.152240384587677e-06,-3.7710776540366793e-06,0.06639730987566682,0.03557511299895205,-4.502485349264197e-06,-3.7334040220988226e-06,-5.987808949146613e-06,-8.642034041218339e-06,0.14820263540851691,-5.061441379546054e-06,0.07567698747422044,-4.6536402273068175e-06,-4.50791211525232e-06,-2.2304958058691464e-06,-4.629519146266625e-06,6.309271203542075e-07,0.03217199276542708,0.05931901780676774,0.06332543504416302,0.14999888393207012,0.14999796674708604,-3.7607099993086696e-06,-5.122113707070827e-06
2025-03-31,0.1156439986092905,-5.474874120847196e-06,-6.368894863431122e-06,-6.375844719566946e-06,-5.89694689909615e-06,-5.40524087706824e-06,0.05605265929081262,-4.210945151025152e-06,-6.03512120044248e-06,0.05884478422630345,-4.93007598345622e-06,-5.349703172405307e-06,-5.114408715441243e-06,-6.1357804155091875e-06,-5.950207796420605e-06,0.14999448679109406,-5.280823647794079e-06,0.10619964905371697,-3.7579507951347983e-06,-4.636090760004891e-06,-4.2176093200031315e-06,-5.97303178950758e-06,-3.6348248014728125e-06,0.08838425227184081,0.12499512775619169,-1.5287269931031418e-06,0.14999648469347893,0.1499956042962013,-5.7744860584453475e-06,-4.994343716386244e-06
2025-06-30,0.08484471560459297,-7.677548942836873e-06,-5.484128538257964e-06,-4.337033691451968e-06,-5.59806007766265e-06,-4.787030883441951e-06,0.056462450944450425,-2.446409962154849e-06,-4.351744656944981e-06,0.05634979898705177,-3.147460143450557e-06,-6.037430518297912e-06,-4.834443922308155e-06,-4.2510127164712404e-06,0.07553731344805434,0.14999405114204784,0.07104386809540883,0.14999658167806584,-2.7668198936885645e-06,-2.7254862454375793e-06,-3.1591079517327577e-06,-4.3633062482494444e-06,-3.2673093082312518e-06,0.02579100778519784,0.03781561249708404,-2.235219500741052e-06,0.14224878292335524,0.1499966154698108,-4.680520992787298e-06,-4.646542534441537e-06
2025-09-30,0.02851259607593066,-4.859544123224686e-06,-2.0350219254559708e-06,-3.015412608912037e-06,-1.7880779123029947e-06,-3.709863891796071e-06,0.08583626754800808,-1.8780785865082984e-06,-2.0075052414464983e-06,0.10916894635016038,0.03849043479332114,-3.3197909887889005e-06,-2.6063633547489114e-06,-2.7258577771060583e-06,0.09216183392210846,0.14999571619302704,-6.899145864310522e-07,0.1499970375088418,-1.4059662834658515e-06,-7.244124888122885e-07,-8.542961735253306e-07,-1.694613727726642e-06,-1.505338882329707e-06,0.03502979376103919,0.05556122385588054,-1.0165664650207237e-06,0.08844422187008033,0.14999731771469174,-1.851836404250872e-06,0.016842300765178356
